name,brand,carbon%,series,type,curve_location,curve_height,weight,groove,specialprops
CarbonBraid,Adidas,100,Lx24,Carbonbraid,250,24,,x,gewoven carbon
DF24 Carbon,Adidas,90,DF24,Carbon,200,24,,ja,-
TX24 Carbon,Adidas,90,TX24,Carbon,200,24,,x,-
Lx24 Carbon,Adidas,90,LX24,Carbon,250,24,,x,-
V24 Carbon,Adidas,90,V24,Carbon,300,24,,x,-
DF24 Compo 1,Adidas,70,DF24,Compo 1,200,24,,ja,-
TX24 Compo 1,Adidas,70,TX24,Compo 1,200,24,,x,-
Lx24 Compo 1,Adidas,70,LX24,Compo 1,250,24,,x,-
V24 Compo 1,Adidas,70,V24,Compo 1,300,24,,x,-
DF24 Compo 2,Adidas,50,DF24,Compo 2,200,24,,ja,-
TX24 Compo 2,Adidas,50,TX24,Compo 2,200,24,,x,-
Lx24 Compo 2,Adidas,50,LX24,Compo 2,250,24,,x,-
V24 Compo 2,Adidas,50,V24,Compo 2,300,24,,x,-
DF24 Compo 3,Adidas,30,DF24,Compo 3,200,24,,ja,-
TX24 Compo 3,Adidas,30,TX24,Compo 3,200,24,,x,-
Lx24 Compo 3,Adidas,30,LX24,Compo 3,250,24,,x,-
V24 Compo 3,Adidas,30,V24,Compo 3,300,24,,x,-
DF24 Compo 4,Adidas,20,DF24,Compo 4,200,24,,ja,-
TX24 Compo 4,Adidas,20,TX24,Compo 4,200,24,,x,-
Lx24 Compo 4,Adidas,20,LX24,Compo 4,250,24,,x,-
V24 Compo 4,Adidas,20,V24,Compo 4,300,24,,x,-
DF24 Compo 5,Adidas,15,DF24,Compo 5,200,24,,ja,-
TX24 Compo 5,Adidas,15,TX24,Compo 5,200,24,,x,-
Lx24 Compo 5,Adidas,15,LX24,Compo 5,250,24,,x,-
V24 Compo 5,Adidas,15,V24,Compo 5,300,24,,x,-
DF24 Compo 6,Adidas,0,DF24,Compo 6,200,24,,ja,-
TX24 Compo 6,Adidas,0,TX24,Compo 6,200,24,,x,-
Lx24 Compo 6,Adidas,0,LX24,Compo 6,250,24,,x,-
V24 Compo 6,Adidas,0,V24,Compo 6,300,24,,x,-
TeXtreme X-1 Classic 24,Brabo,100,TeXtreme,X-1,310,24,,x,extra stijf carbon
TeXtreme X-1 Extreme low bow Dragflick,Brabo,100,TeXtreme,X-1,170,24,,ja,extra stijf carbon
TeXtreme X-2 Classic 24,Brabo,100,TeXtreme,X-2,310,24,,x,extra stijf carbon
TeXtreme X-2 Extreme low bow,Brabo,100,TeXtreme,X-2,170,24,,x,extra stijf carbon
TeXtreme X-2 Low bow,Brabo,100,TeXtreme,X-2,240,24,,x,extra stijf carbon
TeXtreme X-3 Classic 24,Brabo,100,TeXtreme,X-3,310,24,,x,extra stijf carbon
TeXtreme X-3 Extreme low bow,Brabo,100,TeXtreme,X-3,170,24,,x,extra stijf carbon
TeXtreme X-3 Low bow,Brabo,100,TeXtreme,X-3,240,24,,x,extra stijf carbon
Origanal LW12 Classic 24,Brabo,100,LW12,Original,310,24,,x,extra stijf carbon
Origanal LW12 Low bow,Brabo,100,LW12,Original,240,24,,x,extra stijf carbon
Signature LW12,Brabo,60,LW12,Signature,310,24,,x,-
G-Force Signature LW12,Brabo,40,LW12,G-Force Signature,310,24,,x,-
Traditional Carbon 100 limited Classic 24,Brabo,100,Traditional,100 limited,310,24,,x,-
Traditional Carbon 100 limited Extreme low bow Dragflick,Brabo,100,Traditional,100 limited,170,24,,ja,-
Traditional Carbon 100 limited low bow,Brabo,100,Traditional,100 limited,240,24,,x,-
Traditional Carbon 100 classic 24,Brabo,100,Traditional,100,310,24,,x,-
Traditional Carbon 100 classic 16,Brabo,100,Traditional,100,290,16,,x,weinig kromming
Traditional Carbon 100 Extreme low bow,Brabo,100,Traditional,100,170,24,,x,-
Traditional Carbon 90,Brabo,90,Traditional,90,310,24,,x,dunnere kop dan classic 24
Traditional Carbon 80 Classic 24,Brabo,80,Traditional,80,310,24,,x,-
Traditional Carbon 80 Extreme low bow,Brabo,80,Traditional,80,170,24,,x,-
Traditional Carbon 80 low bow,Brabo,80,Traditional,80,240,24,,x,-
Traditional Carbon 75 Classic 24,Brabo,75,Traditional,75,310,24,,x,-
Traditional Carbon 75 low bow,Brabo,75,Traditional,75,240,24,,x,-
TC 10 LTD Classic 24,Brabo,100,Tribute,10,310,24,,x,-
TC 10 LTD Extreme low bow,Brabo,100,Tribute,10,170,24,,x,-
TC 10 LTD Extreme low bow Dragflick,Brabo,100,Tribute,10,170,24,,ja,-
TC 9 Classic 24,Brabo,90,Tribute,9,310,24,,x,-
TC 9 Low bow,Brabo,90,Tribute,9,240,24,,x,-
TC 8 Classic 24,Brabo,80,Tribute,8,310,24,,x,-
TC 7 Classic 24,Brabo,70,Tribute,7,310,24,,x,-
TC 7 Extreme low bow,Brabo,70,Tribute,7,170,24,,x,-
TC 7 Extreme low bow Dragflick,Brabo,70,Tribute,7,170,24,,ja,-
TC 7 Low bow,Brabo,70,Tribute,7,240,24,,x,-
TC 6 Classic 24,Brabo,60,Tribute,6,310,24,,x,-
