"Fruitteeltregios","Perioden","Coxs Orange Pippin","Delbarestivale (Delcorf)","Elstar","Golden Delicious","Jonagold","Jonagored","Rode Boskoop (Goudreinette)","Overige appelrassen","Conference","Doyenné du Comice","Stoofperen","Triomphe de Vienne","Overige perenrassen"
"Regio Noord","1997",10,0,30,5,23,8,3,7,12,5,2,1,1
"Regio Noord","1998",8,0,45,7,27,10,5,7,16,4,1,0,1
"Regio Noord","1999",8,1,38,7,31,10,6,7,18,6,1,0,1
"Regio Noord","2000",5,0,37,4,23,9,3,6,25,6,2,0,0
"Regio Noord","2001",5,0,30,4,22,7,3,4,10,3,0,0,1
"Regio Noord","2002",2,0,23,2,16,8,1,3,16,4,1,0,1
"Regio Noord","2003",2,0,24,3,17,9,2,2,22,2,1,0,1
"Regio Noord","2004",2,0,34,4,23,14,2,3,25,7,3,0,0
"Regio Noord","2005",1,0,20,3,9,5,1,3,20,3,1,0,0
"Regio Noord","2006",2,0,27,3,16,10,2,6,33,5,1,0,0
"Regio Noord","2007",1,0,34,3,12,7,1,3,38,6,1,0,0
"Regio Noord","2008",1,0,31,3,11,7,2,4,29,4,1,0,0
"Regio Noord","2009",1,0,32,3,11,8,1,3,37,6,1,0,1
"Regio Noord","2010",0,0,26,2,10,4,1,3,33,3,1,0,0
"Regio Noord","2011",0,0,27,2,16,4,1,5,46,5,1,0,0
"Regio Noord","2012",0,0,22,1,6,1,1,1,24,3,2,1,0
"Regio Noord","2013",1,0,16,2,9,1,1,4,42,3,0,0,2
"Regio Noord","2014",1,0,23,2,11,2,1,4,35,3,2,0,1
"Regio Noord","2015",0,0,15,1,10,1,1,4,44,4,1,0,1
"Regio Noord","2016",0,0,19,1,14,1,1,1,47,5,2,0,1
"Regio West","1997",8,0,16,8,20,5,3,7,26,8,4,2,5
"Regio West","1998",11,1,38,8,30,7,9,10,33,10,4,2,7
"Regio West","1999",11,2,43,11,40,6,13,11,32,8,2,1,5
"Regio West","2000",10,2,30,8,29,5,10,12,47,14,4,1,9
"Regio West","2001",9,1,25,7,23,7,7,7,23,3,1,1,3
"Regio West","2002",6,2,25,8,20,9,6,6,42,13,5,2,9
"Regio West","2003",6,2,24,8,16,11,7,6,43,7,3,1,3
"Regio West","2004",5,3,29,7,21,9,6,4,49,14,4,2,3
"Regio West","2005",4,3,28,7,18,11,5,4,51,11,3,2,3
"Regio West","2006",4,2,26,6,20,10,5,3,56,10,2,2,2
"Regio West","2007",3,2,30,6,21,16,5,3,70,14,2,2,2
"Regio West","2008",2,2,29,5,19,14,6,3,46,8,1,1,1
"Regio West","2009",2,2,37,5,20,14,4,4,75,14,2,2,2
"Regio West","2010",1,1,30,4,11,10,2,0,71,11,2,2,0
"Regio West","2011",2,1,38,7,18,17,5,0,92,14,4,2,0
"Regio West","2012",1,1,25,5,11,9,2,3,60,7,1,0,1
"Regio West","2013",1,1,28,4,10,10,3,5,84,13,3,2,0
"Regio West","2014",1,1,30,5,16,10,4,4,101,14,3,2,5
"Regio West","2015",1,1,29,5,16,12,3,6,100,14,1,2,4
"Regio West","2016",1,1,32,4,16,11,3,3,112,14,2,2,2
"Regio Midden","1997",23,2,67,18,47,16,21,19,44,15,5,2,4
"Regio Midden","1998",18,3,86,15,56,20,16,16,35,9,5,2,5
"Regio Midden","1999",17,4,93,14,62,28,26,18,40,9,4,2,5
"Regio Midden","2000",10,3,81,13,57,21,14,15,59,14,7,3,5
"Regio Midden","2001",12,3,79,12,47,16,17,11,18,3,2,1,2
"Regio Midden","2002",7,3,62,11,47,18,9,7,44,11,8,2,5
"Regio Midden","2003",7,4,68,10,46,17,12,7,53,6,4,1,2
"Regio Midden","2004",6,5,89,13,55,26,14,6,63,12,8,2,3
"Regio Midden","2005",5,4,71,12,45,25,9,8,67,10,4,2,2
"Regio Midden","2006",4,4,75,9,39,23,13,7,74,10,5,3,2
"Regio Midden","2007",3,3,86,9,43,21,9,6,82,13,4,3,2
"Regio Midden","2008",3,3,82,9,40,20,13,9,56,7,2,1,1
"Regio Midden","2009",3,3,85,9,45,23,9,9,106,13,4,3,3
"Regio Midden","2010",2,3,71,7,38,15,9,8,100,11,5,3,3
"Regio Midden","2011",2,2,87,8,47,15,11,13,111,13,4,2,8
"Regio Midden","2012",1,1,55,7,27,8,8,21,68,7,2,0,2
"Regio Midden","2013",1,3,64,5,39,11,9,15,118,11,5,2,4
"Regio Midden","2014",1,2,73,6,35,15,11,18,129,13,4,2,6
"Regio Midden","2015",1,2,70,5,42,8,12,18,126,10,3,1,7
"Regio Midden","2016",1,2,67,4,39,8,10,13,125,12,4,1,7
"Regio Zuid","1997",2,0,16,9,14,4,3,4,3,1,0,0,0
"Regio Zuid","1998",4,1,22,6,19,5,6,4,4,1,0,0,0
"Regio Zuid","1999",3,1,19,7,17,4,6,3,5,1,0,0,0
"Regio Zuid","2000",2,1,19,5,13,4,5,4,5,1,0,0,0
"Regio Zuid","2001",3,1,18,7,10,4,3,2,4,0,0,0,0
"Regio Zuid","2002",1,1,20,7,13,5,3,2,6,1,0,0,0
"Regio Zuid","2003",2,1,17,7,12,5,4,1,8,1,0,0,0
"Regio Zuid","2004",1,1,23,7,14,5,4,1,7,1,0,0,0
"Regio Zuid","2005",2,1,23,7,14,5,4,2,7,1,0,0,0
"Regio Zuid","2006",1,1,21,6,8,3,3,2,9,1,0,0,0
"Regio Zuid","2007",1,1,22,7,12,5,4,2,10,1,0,0,0
"Regio Zuid","2008",1,1,18,6,9,5,2,2,8,0,0,0,0
"Regio Zuid","2009",1,1,22,6,10,5,3,2,12,1,0,0,0
"Regio Zuid","2010",0,1,17,6,8,5,2,0,10,1,0,0,0
"Regio Zuid","2011",1,1,20,7,11,4,3,0,10,1,0,0,0
"Regio Zuid","2012",0,1,13,7,9,3,3,3,9,0,0,0,0
"Regio Zuid","2013",0,1,15,5,8,3,3,2,11,0,0,0,2
"Regio Zuid","2014",0,1,14,5,8,3,4,6,11,1,0,0,0
"Regio Zuid","2015",1,1,14,4,7,3,2,6,5,0,0,0,0
"Regio Zuid","2016",0,1,15,3,4,2,2,5,8,0,0,0,0
